,job_titles,companys,employment_type,seniority,industrys,salary,salary_terms,job_descriptions,job_requirements,links,location,gov_support,min_salary,max_salary,average_salary,salary_med,job_titles_topics,job_description_topic,job_req_topics
204,"VP, CAP Data Engineer, Middle Office Tech, Technology & Operations (WD02988)",DBS BANK LTD.,Full Time,Senior Management,Information Technology,10400to18700,Monthly,"Business Function  Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Â  About the role Â  This role requires an experienced data engineer, with knowledge of end to end credit life cycle management from credit origination to credit measurement/monitoring, to actively execute and monitor project related activities and constantly deliver quality project deliverables. The candidate shall be required to quickly understand the current operating model and define the target state operating model.Â  Working as part of a regional team within our Singapore office although some overseas travel will be required. Â  Responsibilities Â  On a day to day basis provide support to the project team lead within the program. The candidate will be responsible for ensuring coordination of project activities and delivering of project deliverables. The candidates may be required to work across various projects within the program. The candidate should have an understanding of a wide range of banking book products with an appreciation of counterparty credit processes. Â   Gather and document business and technology requirements; data analysis. Define business processes & data flows. Work with system architects to define appropriate technology solutions.Â  Document the necessary functional specifications for system development. Work closely with UX designer on clarifying requirements throughout the project life cycle. Act as an interface between development teams and business end users. Liaise with system developers through the system development life cycle to ensure common understanding. Assist in day to day project activities to ensure document, activities are monitored and completed on time. Support project managers to provide weekly status updates and track project schedule. Lead project streams and manage project finances when required. Manage change in requirements based on defined process Plan, Participate and Coordinate test phases prior to implementation. Develop test plans against the functional specification. Execute functional testing of the new solution. Support various stages of testing, including UAT in preparation for production go-live. Assist preparation of training materials and user guide; conduct necessary training to users. Assist product owner in the development of user guides/manuals. Assist in preparation of project review and closure documents. ","Requirements This is a hands-on role requiring a strong business analyst to engage in a fast moving and large scale credit architecture development program. Minimum of 8 years of working experience within an international banking environment of which at least 3 years in a credit related environment, with exposure of project / program management and involvement. Good understanding of banking domain (specific domain: credit process), banking book (Lending, Trade Finance and CASA) products with credit risk management. Experience in capturing business and technology requirements, systems development life cycle, writing functional specifications, writing test scripts and executing functional tests, analysis of credit risk system requirements. Experience of working with relationship managers, credit risk managers and technical specialists; and understand credit risk end-to-end management and operating model. Proven track record of participating in the delivery of credit risk technology solutions. Either vendor systems or preferably an in-house solution. Ability to plan and conduct interviews with business end users on complex topics. A motivated self-starter with ability to multitask but requires minimal supervision to meet challenging targets, embody a `whatever it takes to get the job done` attitude. Able to operate independently and make sound decisions, but a team player with collaborative attitude and enjoys working in teams. Effective problem solving and analytical skills with attention to detail while maintaining a big picture outlook. Maintain high productivity in a fast paced environment showing effective prioritization skills. Excellent written and verbal communication and interpersonal skills. Proficient in MS Office and able to produce board-level documentation. Proficiency in some form of programming and database technology, such as Java, Oracle/Mysql/Mongodb etcâ¦ Strong facilitation skills and experience facilitating workshops with large groups. Experience in various requirements models like use case models, business process models, data flow diagrams, context diagrams and sequence diagrams etcâ¦ Experience in working with agile software development methodologies. Some skills in usage of any issue/problem tracking, defect management tool and MS SharePoint is required. Experience in working with multi location teams will be an added advantage. ",https://www.mycareersfuture.sg/job/vp-cap-data-engineer-middle-office-tech-technology-operations-dbs-bank-469a8c26a836193d1121507c0a65728e,East,yes,10400.0,18700.0,14550.0,1,0,9,7
205,Data Engineer,LINKSURE NETWORK HOLDING PTE. LIMITED,Permanent,Senior Executive,Information Technology,6000to10000,Monthly,"Responsibilities:   Work with various volumes of data from different sources. Design, build, maintain and optimize the ETL processes in production from these data Manage the delivery of high impact report, dashboards and visualizations Improving the current data pipeline and implement new pipeline along with the evolution of product Collaborate with product and engineering teams to understand needs and assist with data-related issues and provide deliverables  Â ","RequirementsRequirements:Â   2+ years hands-on experience in data warehouse and ETL design Experience in designing, building and deploying production-level data pipeline using tools from Hadoop stack: HDFS, Hive, Flume, Kafka, etc. Experience in spark streaming is a plus 2+ years experience in working with relational SQL and NoSQL databases Strong programming skills in Python and Shell. Java will be a plus Experience with version control systems, Git, SVN Experience with data pipeline and workflow management tools: Azkaban, Oozie, Airflow, etc. Experience in application status monitoring (Prometheus + Grafana, Zabbix, etc.) and container technology will be a plus. Proficient in English and Mandarin (this position is required to communicate daily with colleagues in China) ",https://www.mycareersfuture.sg/job/data-engineer-linksure-network-holding-b77c32f935acfda41f1130f81cb00381,NA,no,6000.0,10000.0,8000.0,1,0,6,0
206,"Senior Manager, Data Engineer",LAZADA SOUTH EAST ASIA PTE. LTD.,Full Time,Manager,Information Technology,9000to13000,Monthly,"Team Introduction Lazada is the number one online shopping & selling destination in Southeast Asia â present in Indonesia, Malaysia, the Philippines, Singapore, Thailand and Vietnam. Lazada helps more than 80,000 local and international sellers as well as 2,500 brands serve the 560 million consumers in the region through its marketplace platform, supported by a wide range of tailored marketing, data, and service solutions. Lazada offers an excellent customer experience through a wide network of logistics partners and its own first- and last-mile delivery arm. Roles & Responsibilities  Implementing working data projects based on given technical specifications Develop real-time and batch data ingesting and processing pipelines to be used for analysis, machine learning, dashboards, alerts and visualizations. Work closely with partner teams to establish the optimal technical solution to business problems Monitor & manage data pipelines, ensuring accuracy and stability ",Requirements Educational background in Computer Science / Electrical Engineering or similar Understanding of database concepts and distributed processing systems Experience with programming and understanding of basic algorithms Strong command of SQL and database concepts Preferred previous knowledge of Hadoop or NOSQL databases Excellent communication & problem solving skillsÂ  ,https://www.mycareersfuture.sg/job/senior-manager-data-engineer-lazada-south-east-asia-d10b977e8ab9f32f8692dd165d59afcc,Central,yes,9000.0,13000.0,11000.0,1,7,0,4
207,"Vice President, Data Engineer",LAZADA SOUTH EAST ASIA PTE. LTD.,Full Time,Middle Management,Information Technology,9000to13500,Monthly,"Team Introduction Lazada is the number one online shopping & selling destination in Southeast Asia â present in Indonesia, Malaysia, the Philippines, Singapore, Thailand and Vietnam. Lazada helps more than 80,000 local and international sellers as well as 2,500 brands serve the 560 million consumers in the region through its marketplace platform, supported by a wide range of tailored marketing, data, and service solutions. Lazada offers an excellent customer experience through a wide network of logistics partners and its own first- and last-mile delivery arm. Roles & Responsibilities  Implementing working data projects based on given technical specifications Develop real-time and batch data ingesting and processing pipelines to be used for analysis, machine learning, dashboards, alerts and visualizations. Work closely with partner teams to establish the optimal technical solution to business problems Monitor & manage data pipelines, ensuring accuracy and stability ",Requirements Educational background in Computer Science / Electrical Engineering or similar Understanding of database concepts and distributed processing systems Experience with programming and understanding of basic algorithms Strong command of SQL and database concepts Preferred previous knowledge of Hadoop or NOSQL databases Excellent communication & problem solving skillsÂ  ,https://www.mycareersfuture.sg/job/vice-president-data-engineer-lazada-south-east-asia-2d5ab5c401d990259d2903a2229cb6da,Central,yes,9000.0,13500.0,11250.0,1,0,0,4
208,Lead Data Engineer - Business Intelligence,APPLE SOUTH ASIA PTE. LTD.,Full Time,Senior Executive,Information Technology,8000to15000,Monthly,"Imagine what you could do here. At Apple, new ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish. Apple's Global Business Intelligence (GBI) team is looking for a Software Engineering Lead for Appleâs Data Warehousing, Business Intelligence and Analytics solutions. Take a leadership role to implement innovative and challenging reporting solutions for one of the world's largest databases. Â  GBI team builds extraordinary high performing reporting and analytics solutions. The team consists of delivery leads and development engineers. This role is responsible for the design, implementation, maintenance, and overall health of DW solutions. Â  We are seeking a pro-active solution-oriented individual with strong written and verbal communication skills, and have a proven track record in Data warehousing architecture, application design, software lifecycle and technical team management coupled with excellent leadership skills. Â  You will enjoy the benefits of working in a fast growing business where you are inspired to ""Think Different"" and where your efforts play a key role in the success of Apple's business. - Deliver highly available, reliable, innovative large-scale data warehousing solutions to facilitate data induction, build optimized aggregates and building reporting solutions - Provide leadership and expertise to define solutions architecture and strategies at all layers, for next generation reporting platform with high performance and scalability - Lead a portfolio of multiple projects, setting priorities with measurable objectives, monitoring and reporting on the process, progress and results - Own ultimate responsibility for the deliverables, working with support and daily operations team to ensure 7x24 operation. - Effectively communicate program status to the senior management and functional partners on a regular basis - Keep up-to-date on the newest technology solutions in market to generate innovative ideas to solve business challenges - Influence work of global multi-functional teams - Provide technical guidance, direction and problem solving to engineering team members. Drive technical excellence in software development and solution design. - Use and help chip in to standard software engineering processes, improve development methodologies over time. - Provide staffing coordination and planning to achieve timely delivery of multiple, concurrent initiatives.","Requirements We are looking for, 8+ years experience developing DW solutions 3+ years leading a technical team, including prior hands-on technical experienceÂ  Architect and design Enterprise Data warehouse and reporting solutionsÂ  Solid understanding of analytics needs and proactive-ness to build generic solutions to improve the efficiencyÂ  Translate complex business requirements into scalable technical solutions meeting Data warehousing standardsÂ  Provide solutions and recommendations on technical issues in production systemÂ  Hands on experience in 2 or more of the database technologies like Teradata, Hadoop, Oracle and VerticaÂ  Good programming experience in at least 1 of the following programming languages C, C++, Java, Perl, PythonÂ  Experience in architecting and building robust, scalable and performant data warehousing and analytics solutionsÂ  Experience or knowledge in the following areas will definitely be a plus : New generation technologies like Spark, Scala, Kafka, Advanced Python Big Data and NoSQL - Mongo, Cassandra Data Science and Machine Learning Knowledge Cloud technology exposure BS Degree in computer science or an equivalent ",https://www.mycareersfuture.sg/job/lead-data-engineer-business-intelligence-apple-south-asia-97237952a628ec3101a70cd7dc5a5ea9,South,no,8000.0,15000.0,11500.0,1,9,9,5
209,Lead Data Engineer - Business Intelligence,APPLE SOUTH ASIA PTE. LTD.,Full Time,Senior Executive,Information Technology,5000to10000,Monthly,"Imagine what you could do here. At Apple, new ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish. Apple's Global Business Intelligence (GBI) team is looking for a Software Engineering Lead for Appleâs Data Warehousing, Business Intelligence and Analytics solutions. Take a leadership role to implement innovative and challenging reporting solutions for one of the world's largest databases. Â  GBI team builds extraordinary high performing reporting and analytics solutions. The team consists of delivery leads and development engineers. This role is responsible for the design, implementation, maintenance, and overall health of DW solutions. Â  We are seeking a pro-active solution-oriented individual with strong written and verbal communication skills, and have a proven track record in Data warehousing architecture, application design, software lifecycle and technical team management coupled with excellent leadership skills. Â  You will enjoy the benefits of working in a fast growing business where you are inspired to ""Think Different"" and where your efforts play a key role in the success of Apple's business. - Deliver highly available, reliable, innovative large-scale data warehousing solutions to facilitate data induction, build optimized aggregates and building reporting solutions - Provide leadership and expertise to define solutions architecture and strategies at all layers, for next generation reporting platform with high performance and scalability - Lead a portfolio of multiple projects, setting priorities with measurable objectives, monitoring and reporting on the process, progress and results - Own ultimate responsibility for the deliverables, working with support and daily operations team to ensure 7x24 operation. - Effectively communicate program status to the senior management and functional partners on a regular basis - Keep up-to-date on the newest technology solutions in market to generate innovative ideas to solve business challenges - Influence work of global multi-functional teams - Provide technical guidance, direction and problem solving to engineering team members. Drive technical excellence in software development and solution design. - Use and help chip in to standard software engineering processes, improve development methodologies over time. - Provide staffing coordination and planning to achieve timely delivery of multiple, concurrent initiatives.","Requirements We are looking for, 5+ years experience developing DW solutions 3+ years leading a technical team, including prior hands-on technical experienceÂ  Architect and design Enterprise Data warehouse and reporting solutionsÂ  Solid understanding of analytics needs and proactive-ness to build generic solutions to improve the efficiencyÂ  Translate complex business requirements into scalable technical solutions meeting Data warehousing standardsÂ  Provide solutions and recommendations on technical issues in production systemÂ  Hands on experience in 2 or more of the database technologies like Teradata, Hadoop, Oracle and VerticaÂ  Good programming experience in at least 1 of the following programming languages C, C++, Java, Perl, PythonÂ  Experience in architecting and building robust, scalable and performant data warehousing and analytics solutionsÂ  Experience or knowledge in the following areas will definitely be a plus : New generation technologies like Spark, Scala, Kafka, Advanced Python Big Data and NoSQL - Mongo, Cassandra Data Science and Machine Learning Knowledge Cloud technology exposure BS Degree in computer science or an equivalent ",https://www.mycareersfuture.sg/job/lead-data-engineer-business-intelligence-apple-south-asia-f057e50ae5d9243abc9062af0bdb7e1d,South,no,5000.0,10000.0,7500.0,1,9,9,5
210,Data Engineer,DP INFORMATION NETWORK PTE. LTD.,Permanent,Professional,Information Technology,6000to8000,Monthly,"Key Responsibilities Â  Responsibilities include, but are not limited to, taking the lead in the following areas:  Ideal candidate will demonstrate ability to deliver results quickly while working in a dynamic, cross functional, team-oriented environment Support the engineering and analytics teams through the use and understanding of analytical tools operating in a big data cloud environment Collaborate with the Global Architecture team members to continue to evaluate, recommend, and integrate new analytical tools Provide technical leadership and hands-on validation of systems during the design, development, and testing Proven record of success in world-class enterprise big data engineering Experience with commercial big data environments -- Cloudera preferred   Experience with cloud solutions â AWS preferred. Good to know - AWS CLI, BOTO, AWS Lambda, Automation Experience with analytical domain tools including SAS, R Studio, Hue, Python, JupyterHub, H2O, Cloudera, Databricks etc. Working knowledge of automated configuration and deployment of tools is a plus Working knowledge of scripting required. Experience with Python is preferred, and other scripting experience is a plus Working knowledge of both Windows and Linux environments is required, along with Hadoop. Cloudera is preferred Knowledge of software development practices and IT operations life cycles is required Experience working in Scrum Agile environment Experience working in a complex, matrix organization, and working with multiple stakeholders across functional and technical skillsets Ability to effectively work with business and other IT teams Excellent verbal and written communication skills. Ability to communicate effectively with development, operations, project, management, and business personnel Applies existing knowledge, and ability to learn and apply more. Tries new approaches and learns from each work assignment Demonstrates flexibility within a variety of changing situations, while working with individuals and groups. Multitasks when required, and where minimal supervision is required â demonstrates ability to produce quality Hand over specifications to the technical teams so they can develop technical specification that meet the business requirements. Support the technical teams in understanding the business requirements. Maintain a high level of mutual respect and open communication with the client stakeholders at all levels of the project team, PM and executive sponsors  Â ","RequirementsExperience Â  List the skills, experience, education etc.  Â   Minimum of 5 -8 years in progressive professional roles in big data and analytics A bachelor's degree in information systems, engineering, computer science or equivalent work experience in big data is preferred A high calibre individual who can create and propose technical data engineering solutions using open source technology stack and which support the analytical tool of choice of our data scientists You will play a critical role in designing, developing and implementing data lakes using big data technologies such as Hadoop. Candidate needs to be hands-on and have a curios nature You will be responsible for building scalable distributed data solutions In collaboration with subject matter experts and data stewards, defines and implements data strategy, policies, controls, and programs to ensure the enterprise data is accurate, complete, secure, and reliable Manages, analyzes, and resolves data initiative issues and manages revisions needed to best meet internal and customer requirements while adhering to published data standard Assists in the application and implementation procedures of data standards and guidelines on data stewardship, coding structures, and data replication to ensure access to and integrity of data sets Be proactive and a self-starter, and be comfortable with ambiguity Experian product knowledge is advantageous, but not essential Preferably some vendor experience   Should have previously worked on a large scale Big Data project till implementation Strong presentation skills Self-motivated, assertive, goal oriented and able to work productively with minimal supervision Excellent written and verbal communication skills Good interpersonal skills and ability to work effectively with other team members, on a global basisâ  Technical Skills:  5+ years of hands-on programming using Python, Java, C, C++, and Scala 5+ years of hands on experience using:   BigData Technologies: HDFS, HBASE, HIVE, MapReduce, PIG, SPARK, IMPALA, STORM, KAFKA NoSQL Technologies: SOLR, CASSANDRA, NEO4J and REDIS Cloud Technologies: AWS. Good to know AWS CLI, BOTO, AWS Lambda, Automation   Working Knowledge of RDBMS DB Working knowledge of developing RESTFUL APIâs Knowledge of UNIX â Script language is highly preferable Knowledge of multi-tier architectures and deployment Knowledge of real-time, batch applications Knowledge of IBM mainframes, z/OS, and virtualization technologies a plus Knowledge of Change Data Capture/Replication technologies a plus  Â  Â ",https://www.mycareersfuture.sg/job/data-engineer-dp-information-network-828ce4ce4c25d05781945dd2f35d07d6,Islandwide,no,6000.0,8000.0,7000.0,1,0,6,5
211,Data Engineer,DYNAMIC TECHNOLOGY LAB PRIVATE LIMITED,Full Time,Fresh/entry level,Information Technology,4500to8000,Monthly,* coordinate with model researchers to develop data jobs * design workflow/framework to facilitate exploring large scale data * monitor and maintain daily data production,"Requirements* patient, detail-oriented and highly responsible; * willing to learn complicated topics, to solve difficult problems, and to handle tedious tasks carefully; * strong programming skills in C/C++/Python; * comfortable with Linux; * strong problem solving skills;  The following skills are bonus: * knowledge on database * web development experience * experience with large data (>100G) * foreign languages such as French, German, Japanese and Korean.",https://www.mycareersfuture.sg/job/data-engineer-dynamic-technology-lab-271b0336785bcbd5e046a4aa2b500c42,Central,yes,4500.0,8000.0,6250.0,0,0,6,7
213,Data Engineer  /  Analyst,MANAGEMENT RESOURCES CONSULTANTS (S) PTE. LTD.,Full Time,Fresh/entry level,Information Technology,2500to4000,Monthly," Work on the continued improvement and maintenance of internal ML and analytics products. Take part in predictive analytics consulting projects for HR. Collect, extract and consolidate data across multiple online and offline sources and perform data wrangling. Contribute to the development of new features and products.  Interested applicants to send CV to apply@mrc-asia.com,Â indicating your qualification, skills set, experience, current and expected remuneration.","RequirementsMinimum Qualifications  Bachelorâs degree in a quantitative discipline (Computer Science, Engineering, Statistics, Mathematics, etc.) Competent in using statistical programming languages (Python, R) with associated machine learning packages (scikit-learn, caret) to manipulate data and draw insights from large data sets. Strong in Excel and data visualization tools such as Power BI or Tableau. Working knowledge of SQL / NoSQL databases. Working knowledge of web scraping. Fluent in English and Chinese (Mandarin) preferred, as work involves China clients. Willingness to travel on projects.Â Â Â Â Â Â Â Â Â Â Â Â Â   Â  Preferred Qualifications  Experience in deploying machine-learning applications into a production environment. Knowledge of advanced web scraping. Experience with data management and pipeline tools. ",https://www.mycareersfuture.sg/job/data-engineer-analyst-management-resources-consultants-52f56c53858a129fbb4f2f91eca0d5fb,Central,no,2500.0,4000.0,3250.0,0,3,6,4
214,Data Engineer,BEATHCHAPMAN (PTE. LTD.),Permanent,Manager,Information Technology,120000to140000,Monthly,â¢Â Â Â Leading online travel company that provides a wide range of travel needs in one platform â¢Â Â Â Mobile app that has been downloaded more than 30 million times â¢Â Â  Most popular travel app In the South East region,"RequirementsOn behalf of our client, BeathChapman is assisting in identifying a skilled Data Engineer that has been working with quite a significant amount of data (hundreds of TB or perhaps petabytes), as well as an individual that knows how to cope with the complexity of dealing with plenty of business requests, with multitude priorities. Job Responsibilities:  You will be designing, building, supporting and scaling our data infrastructure. Monitoring, alerting and debugging infrastructure that is streaming millions of events per hour with thousands of pipelines running Collaborate and coordinate with other departments (product, etc) to solve their use case using data technology; state of the art big data stack such as Kafka, Pubsub, Spark, DataFlow, BigQuery, Airflow, etc. on hundreds of terabytes data. Designing and building tools for maintaining deployment flows to make deployment experience is seamless.Â  Explore/learn new technologies that can complement or replace our current stack to improve it.  Requirements   Comfortable with writing efficient code in either Python/Java/Scala Past experience in building and running data processing systems (batch or even better in streaming) Genuine interest in big data, software engineering, and how the data can shape the business in the overall Familiar with the concept and implementation of dimensional modelling.Â  Uphold best practices and principles around clean code, testing, continuous integration Strong team player and collaborator, having strong initiatives, and driving the team. Having a high level of responsibility and resilience in dealing with issues Experience in productionize and maintaining data pipeline.Â  Familiar with big data infrastructure (such as Kafka, Hadoop, Spark, etc.), databases, and data security, preferably within the cloud environment. Preferable to have experience in integrating 3rds party data such as segment, google analytics, mixpanel, salesforce, facebook, or others.Â  Background in the travel industry, e-commerce, finance, and financial technology is a strong point that will be considered.Â   Interested candidates can forward their CVs in MS Word format to hareesh@ethosbc.com quoting reference number HB/AFVP-404356/IA Â  Reg No. R1441909 BeathChapman Pte Ltd Licence no. 16S8112",https://www.mycareersfuture.sg/job/data-engineer-beathchapman-48ba55728c7399c07af29eaace29967d,NA,no,10000.0,11666.67,10833.335,1,0,0,9
216,Senior Database Consultant - Big Data Engineer,PALO IT SINGAPORE PTE. LTD.,Permanent,Professional,Information Technology,6000to12000,Monthly,"Your profile & role on the project YOU:  Thrive on challenge. When was the last time you failed? Are curious & always learning. What are you up to right now? Can deal with constant change. When were you last surprised? Have mastered at least one skill of your trade but youâre not defined by it. What can you teach us? Can you wear many hats?  YOU AGAIN: The DevOps Architect will install, maintain, and support an on-premises cloud infrastructure and apply DevOps practices and solutions. The person will also implement cloud-related and DevOps technologies such as AWS/Puppet/Chef/Elk/Azure/Openstack. Other infrastructure related activities such as maintaining the company internal server infrastructure and respond to consultant requests when required will be expected.  Install, maintain, and support on-premises and off-premises cloud stack. Configure, maintain, and support the cloud-related infrastructures. Act as a system administrator on different OSes (e.g. RHEL, Opensolaris, Ubuntu, etc.) and help teams deploy their application and automate their development and releases on the cloud. Ability to develop solutions and self-learn new tools and technologies. Document, and share knowledge on developed DevOps solutions.  STILL YOU:  Unix / Linux / Bash knowledge Very good understanding of cloud computing (e.g. Technologies, Deployment, costing, HA/DR, etc.) Good understanding of DevOps principles (e.g. testing automation, BDD, TDD, Release automation, CI/CD, etc.) 2 years experience with cloud deployment (e.g. Openstack, VMWare, AWS, Azure, Terraform, etc.) 1 year experience with testing automation (e.g. Maven, Selenium, HP QC, LoadRunner) 1 year experience with release automation process (e.g. CA-RA, Jenkins, etc.) 1 year experience with Configuration Management (e.g. Ansible, SaltStack, Puppet/Chef, etc.) 1 year experience with monitoring tools (e.g. ELK, Prometheus, Grafana and Splunk) Experience with developing and implementing processes to handle releases from Development to Operations while respecting internal rules, and offering solutions for rollback) Experience with designing an architecture to implement development-to-production workflows. Knowledge of SRE, Containers, Kubernetes, Openshift is a plus. Good understanding of microservice architecture and DevOps practices that support. Strong RDMS and NoSQL skill in deploying and fine tuning such as MySQL, Oracle, Elasticsearch.  Your role at PALO IT You will be invited to take part in R&D works done within our Practices. You will have the chance to assist or be a speaker at must-attend international IT conferences. You will have the opportunity to write articles for our Blog or specialized press. Genuine ambassador of PALO IT, you will present our offers and take an active role in the development of the company.  Your technical environment # Cloud and DevOps based technologies (AWS/Puppet/Chef/Elk/Azure/Opencloud) # DevOps practices # Linux OS, Shell Scripting, SQL # Agile and scrum environment","RequirementsâÂ Â Â Â  You hold a Bachelor, Master or PhD degree in IT, Information Management and/or Computer Science âÂ Â Â Â  You are just graduated or have less than 3 years of working experience âÂ Â Â Â  Good knowledge of big data technology landscape and concepts related to distributed storage / computing âÂ Â Â Â  Experience with big data frameworks (e.g. Hadoop, Spark) and distributions (Cloudera, Hortonworks, MapR) âÂ Â Â Â  Experience with batch & ETL jobs to ingest and process data from multiple data sources âÂ Â Â Â  Experience with NoSQL databases (e.g. Cassandra, MongoDB, Neo4J, ElasticSearch) âÂ Â Â Â  Experience with querying tools (e.g Hive, Spark SQL, Impala) âÂ Â Â Â  Experience or willingness to go in real-time stream processing, using solutions such as Kafka, Flume and/or Spark Streaming âÂ Â Â Â  You are passionate about technology and continuous learning comes naturally to you Â ",https://www.mycareersfuture.sg/job/senior-database-consultant-big-data-engineer-palo-singapore-3457c8d2b5a325c08dd1464799c45875,Central,yes,6000.0,12000.0,9000.0,1,9,3,5
217,Senior Database Consultant - Big Data Engineer,PALO IT SINGAPORE PTE. LTD.,Permanent,Professional,Information Technology,6000to12000,Monthly,"Your profile & role on the project YOU:  Thrive on challenge. When was the last time you failed? Are curious & always learning. What are you up to right now? Can deal with constant change. When were you last surprised? Have mastered at least one skill of your trade but youâre not defined by it. What can you teach us? Can you wear many hats?  YOU AGAIN: The DevOps Architect will install, maintain, and support an on-premises cloud infrastructure and apply DevOps practices and solutions. The person will also implement cloud-related and DevOps technologies such as AWS/Puppet/Chef/Elk/Azure/Openstack. Other infrastructure related activities such as maintaining the company internal server infrastructure and respond to consultant requests when required will be expected.  Install, maintain, and support on-premises and off-premises cloud stack. Configure, maintain, and support the cloud-related infrastructures. Act as a system administrator on different OSes (e.g. RHEL, Opensolaris, Ubuntu, etc.) and help teams deploy their application and automate their development and releases on the cloud. Ability to develop solutions and self-learn new tools and technologies. Document, and share knowledge on developed DevOps solutions.  STILL YOU:  Unix / Linux / Bash knowledge Very good understanding of cloud computing (e.g. Technologies, Deployment, costing, HA/DR, etc.) Good understanding of DevOps principles (e.g. testing automation, BDD, TDD, Release automation, CI/CD, etc.) 2 years experience with cloud deployment (e.g. Openstack, VMWare, AWS, Azure, Terraform, etc.) 1 year experience with testing automation (e.g. Maven, Selenium, HP QC, LoadRunner) 1 year experience with release automation process (e.g. CA-RA, Jenkins, etc.) 1 year experience with Configuration Management (e.g. Ansible, SaltStack, Puppet/Chef, etc.) 1 year experience with monitoring tools (e.g. ELK, Prometheus, Grafana and Splunk) Experience with developing and implementing processes to handle releases from Development to Operations while respecting internal rules, and offering solutions for rollback) Experience with designing an architecture to implement development-to-production workflows. Knowledge of SRE, Containers, Kubernetes, Openshift is a plus. Good understanding of microservice architecture and DevOps practices that support. Strong RDMS and NoSQL skill in deploying and fine tuning such as MySQL, Oracle, Elasticsearch.  Your role at PALO IT You will be invited to take part in R&D works done within our Practices. You will have the chance to assist or be a speaker at must-attend international IT conferences. You will have the opportunity to write articles for our Blog or specialized press. Genuine ambassador of PALO IT, you will present our offers and take an active role in the development of the company.  Your technical environment # Cloud and DevOps based technologies (AWS/Puppet/Chef/Elk/Azure/Opencloud) # DevOps practices # Linux OS, Shell Scripting, SQL # Agile and scrum environment","RequirementsâÂ Â Â Â  You hold a Bachelor, Master or PhD degree in IT, Information Management and/or Computer Science âÂ Â Â Â  You are just graduated or have less than 3 years of working experience âÂ Â Â Â  Good knowledge of big data technology landscape and concepts related to distributed storage / computing âÂ Â Â Â  Experience with big data frameworks (e.g. Hadoop, Spark) and distributions (Cloudera, Hortonworks, MapR) âÂ Â Â Â  Experience with batch & ETL jobs to ingest and process data from multiple data sources âÂ Â Â Â  Experience with NoSQL databases (e.g. Cassandra, MongoDB, Neo4J, ElasticSearch) âÂ Â Â Â  Experience with querying tools (e.g Hive, Spark SQL, Impala) âÂ Â Â Â  Experience or willingness to go in real-time stream processing, using solutions such as Kafka, Flume and/or Spark Streaming âÂ Â Â Â  You are passionate about technology and continuous learning comes naturally to you Â ",https://www.mycareersfuture.sg/job/senior-database-consultant-big-data-engineer-palo-singapore-705c8891b878db36611d27e4aaae5c2e,Central,yes,6000.0,12000.0,9000.0,1,9,3,5
